Date,Time,Tank,GC,Fecund,Length,ID,N,C,WN,WC,C:N,Comments
1/3/2014,0:00,1,BS,y,17,m1,14.0,-28.0,9.9,45.9,4.6,
1/3/2014,0:00,1,BS,y,15,m2,12.8,-28.0,10.9,49.0,4.5,
1/3/2014,0:00,2,BS,n,19,m3,13.3,-30.2,10.0,52.3,5.2,
1/3/2014,0:00,2,BS,n,18,m4,13.1,-30.8,9.5,50.4,5.3,
1/3/2014,0:00,4,BS,n,13,m5,13.2,-26.2,11.1,45.1,4.1,
1/3/2014,0:00,4,BS,y,16,m6,13.0,-28.7,9.8,47.1,4.8,
1/3/2014,0:00,5,BS,y,14,m7,12.9,-27.6,10.8,44.6,4.1,
1/3/2014,0:00,5,BS,y,18,m8,12.7,-30.2,10.2,48.6,4.8,
1/3/2014,0:00,6,BS,?,14,m9,14.1,-29.5,11.8,44.5,3.8,
1/3/2014,0:00,6,BS,?,19,m10,13.2,-29.5,12.2,45.3,3.7,
1/20/2014,08:00-09:00,1,BS,y,15,m11,13.0,-27.6,10.0,46.4,4.6,
1/20/2014,08:00-09:00,2,BS,n,13,m12,13.9,-26.3,11.5,45.4,4.0,
1/20/2014,08:00-09:00,4,BS,y,17,m13,12.7,-27.0,9.8,46.0,4.7,
1/20/2014,08:00-09:00,4,BS,n,10,m14,14.3,-25.2,11.7,44.4,3.8,
1/20/2014,08:00-09:00,4,BS,y,16,m15,,,,,,Sample lost during the analysis. Rerun the sample.
1/20/2014,08:00-09:00,4,BS,y,17,m16,,,,,,Sample lost during the analysis. Rerun the sample.
1/20/2014,08:00-09:00,4,BS,y,15,m17,12.7,-27.3,10.5,45.3,4.3,
1/20/2014,08:00-09:00,4,BS,n,15,m18,13.4,-26.2,9.9,47.5,4.8,
1/20/2014,08:00-09:00,5,BS,n,14,m19,14.1,-26.2,9.9,46.2,4.7,
1/20/2014,08:00-09:00,5,BS,y,19,m20,13.7,-29.5,9.2,45.4,4.9,
1/20/2014,08:00-09:00,5,BS,n,15,m21,13.3,-28.1,10.4,42.3,4.1,
1/20/2014,08:00-09:00,5,BS,n,12,m22,14.0,-25.8,10.7,46.3,4.3,
1/20/2014,08:00-09:00,5,BS,y,19,m23,13.3,-28.8,11.6,45.4,3.9,
1/20/2014,08:00-09:00,5,BS,y,19,m24,12.7,-28.1,10.9,41.2,3.8,
1/20/2014,08:00-09:00,5,BS,y,16,m25,13.5,-28.0,10.6,46.3,4.3,
1/20/2014,08:00-09:00,6,BS,y,20,m26,12.5,-29.4,10.0,42.9,4.3,
1/20/2014,08:00-09:00,6,BS,y,16,m27,12.9,-28.2,9.6,43.2,4.5,
1/20/2014,08:00-09:00,6,BS,y,19,m28,13.0,-28.0,10.3,45.6,4.4,
1/20/2014,08:00-09:00,6,BS,n,14,m29,14.0,-27.5,11.4,47.1,4.1,
1/20/2014,08:00-09:00,6,BS,n,11,m30,13.8,-26.0,10.7,46.2,4.3,
1/20/2014,08:00-09:00,6,BS,n,12,m31,13.8,-25.9,10.7,44.6,4.2,
1/20/2014,08:00-09:00,6,BS,n,13,m32,13.4,-26.8,10.7,43.4,4.1,
1/20/2014,08:00-09:00,6,BS,y,16,m33,13.1,-28.1,10.5,50.1,4.8,
1/21/2014,10:59,2,Empty,n,15,m34,13.8,-29.2,10.6,46.6,4.4,
1/21/2014,10:59,2,Empty,n,13,m35,14.6,-25.7,12.6,48.1,3.8,
1/21/2014,10:59,1,Empty,y,17,m36,12.8,-28.8,11.6,45.5,3.9,
1/21/2014,11:26,4,Empty,y,17,m37,12.8,-27.6,10.9,47.8,4.4,
1/21/2014,11:26,4,Empty,n,12,m38,14.1,-26.1,10.5,51.7,4.9,
1/21/2014,11:26,4,Empty,y,15,m39,14.5,-27.5,10.6,50.7,4.8,
1/21/2014,11:26,4,Empty,n,12,m40,13.4,-26.1,10.8,42.3,3.9,
1/21/2014,11:26,4,Empty,y,17,m41,14.9,-27.0,10.8,47.7,4.4,
1/21/2014,11:26,4,Empty,y,15,m42,14.1,-27.9,10.7,46.9,4.4,
1/21/2014,11:26,4,Empty,n,13,m43,13.8,-25.9,11.4,42.8,3.7,
1/21/2014,11:50,5,Empty,n,16,m44,14.7,-28.3,12.9,46.8,3.6,
1/21/2014,11:50,5,Empty,y,18,m47,12.9,-28.7,10.5,46.8,4.5,
1/21/2014,11:50,5,Empty,y,18,m48,12.7,-27.7,10.5,39.2,3.7,
1/21/2014,11:50,5,Empty,n,12,m49,14.3,-26.0,10.6,46.0,4.3,
1/21/2014,11:50,5,Empty,n,12,m50,14.3,-27.1,11.1,46.8,4.2,
1/21/2014,11:50,5,Empty,n,13,m51,13.4,-26.9,10.4,42.6,4.1,
1/21/2014,12:00,6,Empty,n,19,m52,14.2,-29.5,11.8,50.4,4.3,
1/21/2014,12:00,6,Empty,n,14,m53,14.3,-26.9,11.2,45.5,4.1,
1/21/2014,12:00,6,Empty,y,15,m54,12.5,-28.9,10.3,45.2,4.4,
1/21/2014,12:00,6,Empty,y,16,m55,12.8,-27.9,10.4,48.7,4.7,
1/21/2014,12:00,6,Empty,n,15,m56,13.6,-27.4,10.0,42.5,4.3,
1/21/2014,12:00,6,Empty,n,12,m57,13.4,-26.1,10.3,45.9,4.5,
1/21/2014,12:00,6,Empty,n,9,m58,13.7,-26.4,9.9,43.2,4.4,
1/22/2014,8:00,2,Algae,n,11,m64,13.4,-25.6,10.4,40.1,3.9,
1/22/2014,8:07,5,Algae,y,17,m65,13.0,-27.7,11.1,47.5,4.3,
1/22/2014,8:07,5,Algae,n,15,m66,14.8,-28.8,10.3,47.3,4.6,
1/22/2014,8:07,5,Algae,y,15,m68,12.8,-27.4,11.2,45.3,4.0,
1/22/2014,8:07,5,Algae,n,14,m69,13.4,-26.3,10.2,44.6,4.4,
1/22/2014,8:17,5,Algae,y,17,m70,12.4,-29.2,10.1,44.1,4.4,
1/22/2014,8:26,4,Algae,y,16,m71,13.3,-27.4,9.7,42.3,4.4,
1/22/2014,8:30,4,Algae,y,15,m72,12.7,-26.8,9.8,46.5,4.7,
1/22/2014,8:31,4,Algae,y,16,m73,14.5,-28.2,11.0,43.1,3.9,
1/22/2014,8:37,4,Algae,y,14,m76,12.5,-26.9,9.5,42.2,4.4,
1/22/2014,8:47,6,Algae,y,18,m77,13.0,-29.6,9.7,44.0,4.5,
1/22/2014,8:52,6,Algae,y,16,m81,13.0,-28.0,10.8,45.3,4.2,
1/22/2014,8:56,6,Algae,n,18,m82,13.3,-29.1,10.0,46.7,4.7,
1/22/2014,8:56,6,Algae,y,18,m83,13.2,-27.9,10.2,41.2,4.0,
1/22/2014,9:10,6,Algae,n,12,m84,14.4,-25.8,10.3,41.4,4.0,
1/22/2014,9:10,6,Algae,n,13,m85,13.7,-26.8,10.2,45.6,4.5,
1/22/2014,9:21,6,Algae,n,13,m86,14.0,-26.3,9.9,46.8,4.7,
1/22/2014,9:21,4,Algae,n,10,m87,13.9,-25.6,9.6,49.8,5.2,
1/22/2014,9:21,4,Algae,n,12,m88,13.1,-26.5,8.9,42.0,4.7,
1/22/2014,9:21,4,Algae,y,13,m89,13.4,-25.9,9.5,43.5,4.6,
1/22/2014,9:43,5,Algae,y,19,m90,13.7,-28.0,10.4,45.1,4.3,
1/22/2014,9:43,5,Algae,n,11,m91,14.0,-25.9,9.4,44.8,4.8,
1/22/2014,9:55,5,Algae,n,19,m92,13.9,-29.5,10.4,49.7,4.8,
